state,per_capita_income_2020,per_capita_income_2019,percentage_change_in_income,unemployment_010920,unemployment_010919,adults_with_at_least_1_gun_at_home_2019,health_insured_2019_any_coverage,health_insured_2019_uninsured
Alabama,48641,44009,NA,6.6,2.7,58,4354,469
Alaska,67507,62653,NA,7.2,6.2,59,620,86
Arizona,50403,45901,NA,6.7,4.6,37,6357,809
Arkansas,48691,44494,NA,7.3,3.6,50,2692,271
California,72764,66430,NA,11,3.9,18,35996,3002
Colorado,65816,60879,NA,6.4,2.6,39,5211,453
Connecticut,81606,77111,NA,7.8,3.7,18,3307,207
Delaware,58989,54377,NA,8.2,3.9,30,894,63
District of Columbia,88033,83196,NA,8.7,5.3,NULL,672,25
Florida,56412,52311,NA,7.6,2.9,29,18372,2784
Georgia,52184,48141,NA,6.4,3.2,39,9023,1398
Hawaii,65961,56746,NA,15.1,2.7,NA,1302,56
Idaho,50169,45823,NA,6.1,2.9,53,1574,191
Illinois,66224,58425,NA,10.2,3.7,24,11565,923
Indiana,52560,48450,NA,6.2,3.2,40,6053,578
Iowa,58612,51347,NA,4.7,2.8,38,2956,156
Kansas,57636,53005,NA,5.9,3.1,43,2589,262
Kentucky,48585,43566,NA,5.6,4.3,49,4102,283
Louisiana,51789,47344,NA,8.1,5.1,48,4135,404
Maine,56268,50417,NA,6.1,2.9,45,1221,107
Maryland,69341,64501,NA,7.2,3.5,21,5589,357
Massachusetts,86779,74089,NA,9.6,2.8,10,6617,204
Michigan,55484,49062,NA,8.5,3.9,35,9308,571
Minnesota,64364,58524,NA,6,3.2,39,5308,273
Mississippi,43352,38647,NA,7.1,5.6,50,2528,377
Missouri,53036,48387,NA,4.9,3.3,48,5417,604
Montana,56030,49377,NA,5.3,3.5,64,967,87
Nebraska,55810,53936,NA,3.5,3,39,1746,158
Nevada,57987,51042,NA,12.6,3.7,36,2696,348
New Hampshire,67815,63375,NA,6,2.6,39,1259,84
New Jersey,81429,70273,NA,6.7,3.6,8,8084,692
New Mexico,48194,43125,NA,9.4,4.8,39,1854,205
New York,77014,71588,NA,9.7,3.9,14,18206,1007
North Carolina,48153,47664,NA,7.3,3.7,35,9124,1157
North Dakota,57690,56470,NA,4.4,2.4,55,693,51
Ohio,55340,49994,NA,8.4,4.1,36,10757,758
Oklahoma,52469,47170,NA,5.3,3.3,51,3319,553
Oregon,59512,52953,NA,8,3.5,44,3876,299
Pennsylvania,64816,57887,NA,8.1,4.6,37,11867,726
Rhode Island,64878,56329,NA,10.5,3.5,11,1001,43
South Carolina,49036,45242,NA,5.1,2.4,43,4501,548
South Dakota,58778,53262,NA,4.1,3.4,52,779,88
Tennessee,51232,48625,NA,6.3,3.3,46,6038,682
Texas,57231,52621,NA,8.3,3.5,37,23280,5234
Utah,53218,48642,NA,5,2.5,39,2872,307
Vermont,63022,55067,NA,4.2,2.4,46,590,28
Virginia,63674,59449,NA,6.2,2.7,37,7645,658
Washington,70958,64551,NA,7.8,4.1,34,7001,496
West Virginia,49021,42320,NA,8.6,5,58,1644,118
Wisconsin,57492,53156,NA,5.4,3.4,43,5423,329
Wyoming,66539,61912,NA,6.1,3.7,59,499,70
United States of America,61842,56307,NA,7.205882353,3.57254902,37.68627451,NA,NA