state,party2016,party2020
Alabama,republican,Republican
Alaska,republican,Republican
Arizona,republican,Democrat
Arkansas,republican,Republican
California,democrat,Democrat
Colorado,democrat,Democrat
Connecticut,democrat,Democrat
Delaware,democrat,Democrat
District of Columbia,democrat,Democrat
Florida,republican,Republican
Georgia,republican,Democrat
Hawaii,democrat,Democrat
Idaho,republican,Republican
Illinois,democrat,Democrat
Indiana,republican,Republican
Iowa,republican,Republican
Kansas,republican,Republican
Kentucky,republican,Republican
Louisiana,republican,Republican
Maine,democrat,Democrat
Maryland,democrat,Democrat
Massachusetts,democrat,Democrat
Michigan,republican,Democrat
Minnesota,democrat,Democrat
Mississippi,republican,Republican
Missouri,republican,Republican
Montana,republican,Republican
Nebraska,republican,Republican
Nevada,democrat,Democrat
New Hampshire,democrat,Democrat
New Jersey,democrat,Democrat
New Mexico,democrat,Democrat
New York,democrat,Democrat
North Carolina,republican,Republican
North Dakota,republican,Republican
Ohio,republican,Republican
Oklahoma,republican,Republican
Oregon,democrat,Democrat
Pennsylvania,republican,Democrat
Rhode Island,democrat,Democrat
South Carolina,republican,Republican
South Dakota,republican,Republican
Tennessee,republican,Republican
Texas,republican,Republican
Utah,republican,Republican
Vermont,democrat,Democrat
Virginia,democrat,Democrat
Washington,democrat,Democrat
West Virginia,republican,Republican
Wisconsin,republican,Democrat
Wyoming,republican,Republican
United States of America,NA,NA
NA,NA,NA