state,winner2016,party2016,candidatevotes2016,totalvotes2016,percentage_of_vote_2016,2020_winner,percentage_of_vote_2020
Alabama,"Trump, Donald J.",republican,1318255,2123372,,,
Alaska,"Trump, Donald J.",republican,163387,318608,,,
Arizona,"Trump, Donald J.",republican,1252401,2573165,,,
Arkansas,"Trump, Donald J.",republican,684872,1130635,,,
California,"Clinton, Hillary",democrat,8753788,14181595,,,
Colorado,"Clinton, Hillary",democrat,1338870,2780220,,,
Connecticut,"Clinton, Hillary",democrat,897572,1644920,,,
Delaware,"Clinton, Hillary",democrat,235603,441590,,,
District of Columbia,"Clinton, Hillary",democrat,282830,312575,,,
Florida,"Trump, Donald J.",republican,4617886,9420039,,,
Georgia,"Trump, Donald J.",republican,2089104,4114732,,,
Hawaii,"Clinton, Hillary",democrat,266891,437664,,,
Idaho,"Trump, Donald J.",republican,409055,690255,,,
Illinois,"Clinton, Hillary",democrat,3090729,5536424,,,
Indiana,"Trump, Donald J.",republican,1557286,2734958,,,
Iowa,"Trump, Donald J.",republican,800983,1565580,,,
Kansas,"Trump, Donald J.",republican,671018,1184402,,,
Kentucky,"Trump, Donald J.",republican,1202971,1924149,,,
Louisiana,"Trump, Donald J.",republican,1178638,2029032,,,
Maine,"Clinton, Hillary",democrat,357735,771892,,,
Maryland,"Clinton, Hillary",democrat,1677928,2781446,,,
Massachusetts,"Clinton, Hillary",democrat,1995196,3378821,,,
Michigan,"Trump, Donald J.",republican,2279543,4799284,,,
Minnesota,"Clinton, Hillary",democrat,1367705,2944782,,,
Mississippi,"Trump, Donald J.",republican,700714,1209357,,,
Missouri,"Trump, Donald J.",republican,1594511,2808605,,,
Montana,"Trump, Donald J.",republican,279240,494526,,,
Nebraska,"Trump, Donald J.",republican,495961,844227,,,
Nevada,"Clinton, Hillary",democrat,539260,1125385,,,
New Hampshire,"Clinton, Hillary",democrat,348526,744296,,,
New Jersey,"Clinton, Hillary",democrat,2148278,3874046,,,
New Mexico,"Clinton, Hillary",democrat,385234,798319,,,
New York,"Clinton, Hillary",democrat,4379789,7802084,,,
North Carolina,"Trump, Donald J.",republican,2362631,4741564,,,
North Dakota,"Trump, Donald J.",republican,216794,344360,,,
Ohio,"Trump, Donald J.",republican,2841005,5496487,,,
Oklahoma,"Trump, Donald J.",republican,949136,1452992,,,
Oregon,"Clinton, Hillary",democrat,1002106,2001336,,,
Pennsylvania,"Trump, Donald J.",republican,2970733,6115402,,,
Rhode Island,"Clinton, Hillary",democrat,252525,464144,,,
South Carolina,"Trump, Donald J.",republican,1155389,2103027,,,
South Dakota,"Trump, Donald J.",republican,227721,370093,,,
Tennessee,"Trump, Donald J.",republican,1522925,2508027,,,
Texas,"Trump, Donald J.",republican,4685047,8969226,,,
Utah,"Trump, Donald J.",republican,515211,1131317,,,
Vermont,"Clinton, Hillary",democrat,178573,320467,,,
Virginia,"Clinton, Hillary",democrat,1981473,3982752,,,
Washington,"Clinton, Hillary",democrat,1742718,3317019,,,
West Virginia,"Trump, Donald J.",republican,489371,713051,,,
Wisconsin,"Trump, Donald J.",republican,1405284,2976150,,,
Wyoming,"Trump, Donald J.",republican,174419,258788,,,